state	account_length	area_code	phone_number	international_plan	voice_mail_plan	number_vmail_messages	total_day_minutes	total_day_calls	total_day_charge	total_eve_minutes	total_eve_calls	total_eve_charge	total_night_minutes	total_night_calls	total_night_charge	total_intl_minutes	total_intl_calls	total_intl_charge	number_customer_service_calls	class
KY	74	415	346-7302	0	1	35	154.1	104	26.2	123.4	84	10.49	202.1	57	9.09	10.9	9	2.94	2	0
NJ	128	415	358-9095	0	0	0	237.9	125	40.44	247.6	93	21.05	208.9	68	9.4	13.9	4	3.75	1	1
LA	155	415	334-1275	0	0	0	203.4	100	34.58	190.9	104	16.23	196	119	8.82	8.9	4	2.4	0	1
ME	78	415	400-9510	0	0	0	252.9	93	42.99	178.4	112	15.16	263.9	105	11.88	9.5	7	2.57	3	0
AZ	90	415	387-6103	0	0	0	179.1	71	30.45	190.6	81	16.2	127.7	91	5.75	10.6	7	2.86	3	0
AK	104	408	366-4467	0	0	0	278.4	106	47.33	81	113	6.89	163.2	137	7.34	9.8	5	2.65	1	0
MT	73	415	370-3450	0	0	0	160.1	110	27.22	213.3	72	18.13	174.1	72	7.83	13	4	3.51	0	0
AZ	99	415	327-3954	0	0	0	198.2	87	33.69	207.3	76	17.62	190.9	113	8.59	8.7	3	2.35	4	0
IA	98	510	379-6506	0	1	21	161.2	114	27.4	252.2	83	21.44	160.2	92	7.21	4.4	8	1.19	4	0
MA	108	415	347-7741	0	0	0	178.3	137	30.31	189	76	16.07	129.1	102	5.81	14.6	5	3.94	0	0
KY	95	408	401-7594	0	0	0	135	99	22.95	183.6	106	15.61	245.3	102	11.04	12.5	9	3.38	1	0
IN	122	408	397-4976	0	0	0	170.5	94	28.99	173.7	109	14.76	248.6	75	11.19	11.3	2	3.05	1	0
UT	157	408	403-4298	0	0	0	229.8	90	39.07	147.9	121	12.57	241.4	108	10.86	9.6	7	2.59	3	0
MI	120	408	409-3786	0	0	0	165	100	28.05	317.2	83	26.96	119.2	86	5.36	8.3	8	2.24	1	0
MO	112	510	409-1244	0	1	36	113.7	117	19.33	157.5	82	13.39	177.6	118	7.99	10	3	2.7	2	0
NE	46	408	352-7072	0	0	0	210.2	92	35.73	227.3	77	19.32	200.1	116	9	13.1	7	3.54	1	0
TX	41	408	370-7550	0	1	22	213.8	102	36.35	141.8	86	12.05	142.2	123	6.4	7.2	3	1.94	0	0
MD	121	510	369-5526	0	0	0	190.7	103	32.42	183.5	117	15.6	220.8	103	9.94	9.8	4	2.65	3	0
NV	130	510	408-4195	0	0	0	154.2	119	26.21	110.2	98	9.37	227.4	117	10.23	9.2	5	2.48	2	0
MS	162	415	335-4858	0	0	0	70.7	108	12.02	157.5	87	13.39	154.8	82	6.97	9.1	3	2.46	4	1
MS	61	510	414-8718	0	1	27	187.5	124	31.88	146.6	103	12.46	225.7	129	10.16	6.4	6	1.73	4	1
NE	90	415	353-6870	0	0	0	145.5	92	24.74	217.7	114	18.5	146.9	123	6.61	10.9	2	2.94	3	0
NJ	78	415	390-6101	0	0	0	231	115	39.27	230.4	140	19.58	261.4	120	11.76	9.5	3	2.57	1	0
AL	91	510	387-2919	1	0	0	129.9	112	22.08	173.3	83	14.73	247.2	130	11.12	11.2	3	3.02	3	0
FL	91	510	379-5592	0	0	0	203.1	106	34.53	210.1	113	17.86	195.6	129	8.8	12	3	3.24	3	0
AK	127	510	345-8237	0	1	36	183.2	117	31.14	126.8	76	10.78	263.3	71	11.85	11.2	8	3.02	1	0
NV	113	415	422-6690	0	1	23	205	101	34.85	152	60	12.92	158.6	59	7.14	10.2	5	2.75	2	0
MI	157	415	381-4756	0	1	28	192.6	107	32.74	195.5	74	16.62	109.7	139	4.94	6.8	5	1.84	3	0
VT	103	510	390-2805	0	0	0	246.5	47	41.91	195.5	84	16.62	200.5	96	9.02	11.7	4	3.16	1	0
WA	127	408	386-7281	0	0	0	146.7	91	24.94	203.5	78	17.3	203.4	110	9.15	13.7	3	3.7	1	0
LA	121	408	390-8760	0	0	0	181.5	121	30.86	218.4	98	18.56	161.6	103	7.27	8.5	5	2.3	1	0
RI	145	408	366-6730	0	1	43	257.7	97	43.81	162.1	95	13.78	286.9	86	12.91	11.1	4	3	2	0
IA	113	408	395-5285	0	0	0	193.8	99	32.95	221.4	125	18.82	172.3	67	7.75	10.6	6	2.86	1	0
NE	117	415	354-3436	0	0	0	102.8	119	17.48	206.7	91	17.57	299	105	13.46	10.1	7	2.73	1	0
RI	56	415	383-6293	0	0	0	226	112	38.42	248.5	118	21.12	140.5	142	6.32	6.9	11	1.86	1	0
OH	83	415	370-9116	0	0	0	337.4	120	57.36	227.4	116	19.33	153.9	114	6.93	15.8	7	4.27	0	1
SC	87	415	360-5779	0	0	0	136.3	97	23.17	172.2	108	14.64	137.5	101	6.19	7.1	5	1.92	0	0
VA	141	415	417-4885	0	0	0	217.1	110	36.91	241.5	111	20.53	253.5	103	11.41	12	6	3.24	0	0
MI	62	415	409-8743	0	0	0	98.9	103	16.81	135.4	122	11.51	236.6	82	10.65	12.2	1	3.29	1	0
OK	146	415	335-4584	0	0	0	206.3	151	35.07	148.6	89	12.63	167.2	91	7.52	6.1	3	1.65	1	0
DC	148	415	329-9364	0	0	0	202	102	34.34	243.2	128	20.67	261.3	90	11.76	10.9	3	2.94	1	0
AZ	94	408	390-7434	0	1	38	170.1	124	28.92	193.3	116	16.43	105.9	73	4.77	12.8	4	3.46	1	0
AL	32	510	404-9680	0	0	0	230.9	87	39.25	187.4	90	15.93	154	53	6.93	6.3	2	1.7	0	0
NM	25	415	381-2709	0	0	0	119.3	87	20.28	211.5	101	17.98	268.9	86	12.1	10.5	4	2.84	3	0
NE	94	415	377-1765	0	0	0	252.6	104	42.94	169	125	14.37	170.9	106	7.69	11.1	7	3	2	0
MN	62	415	409-2111	0	0	0	147.1	91	25.01	190.4	107	16.18	195.2	115	8.78	12.2	3	3.29	0	0
MI	127	415	401-3170	0	0	0	202.1	103	34.36	229.4	86	19.5	195.2	113	8.78	11.5	3	3.11	2	0
KS	70	408	411-4582	0	0	0	232.1	122	39.46	292.3	112	24.85	201.2	112	9.05	0	0	0	3	0
AK	126	415	372-3750	0	0	0	58.2	94	9.89	138.7	118	11.79	136.8	91	6.16	11.9	1	3.21	5	1
NY	67	408	405-2888	0	1	36	115.6	111	19.65	237.7	94	20.2	169.9	103	7.65	9.9	12	2.67	2	0
NH	19	408	361-3337	0	0	0	186.1	98	31.64	254.3	57	21.62	214	127	9.63	14.6	7	3.94	2	0
VA	170	510	350-1639	1	0	0	259.9	68	44.18	245	122	20.83	134.4	121	6.05	8.4	3	2.27	3	0
NM	73	415	333-3221	0	0	0	214.3	145	36.43	268.5	135	22.82	241.2	92	10.85	10.8	13	2.92	1	0
AZ	93	415	399-7865	0	0	0	271.6	71	46.17	229.4	108	19.5	77.3	121	3.48	10.9	3	2.94	2	0
WY	164	510	373-4819	0	0	0	160.6	111	27.3	163.2	126	13.87	187.1	112	8.42	9	3	2.43	1	0
TX	130	415	359-5461	0	0	0	176.9	109	30.07	90.7	104	7.71	238	69	10.71	9.5	2	2.57	1	0
KY	80	408	375-3586	0	0	0	209.9	74	35.68	195.1	77	16.58	208.2	119	9.37	8.8	4	2.38	2	0
TN	78	415	332-6934	0	0	0	149.7	119	25.45	182.2	115	15.49	261.5	126	11.77	9.7	8	2.62	0	0
TX	208	510	378-3625	0	0	0	326.5	67	55.51	176.3	113	14.99	181.7	102	8.18	10.7	6	2.89	2	1
ME	131	510	353-7292	1	1	26	292.9	101	49.79	199.7	97	16.97	255.3	127	11.49	13.8	7	3.73	4	1
DC	63	408	399-6786	0	0	0	83	64	14.11	177	106	15.05	245.7	89	11.06	13	3	3.51	0	0
MN	53	415	358-3261	0	1	24	145.7	146	24.77	220.5	136	18.74	249.9	96	11.25	13.1	5	3.54	3	0
DE	62	408	377-9932	0	0	0	182.3	101	30.99	328.2	93	27.9	245	131	11.03	11.2	1	3.02	2	0
MD	97	415	397-4030	0	0	0	218	86	37.06	184	94	15.64	240.5	110	10.82	6.4	8	1.73	3	0
MI	105	510	367-1062	0	0	0	140.6	109	23.9	178.6	51	15.18	217	83	9.76	6.8	3	1.84	2	0
WA	157	415	341-8467	0	0	0	152.7	105	25.96	257.5	80	21.89	198.1	93	8.91	9.4	4	2.54	1	0
IN	122	415	344-3388	0	0	0	243.8	98	41.45	83.9	72	7.13	179.8	84	8.09	13.7	8	3.7	2	0
LA	99	415	411-2284	0	0	0	241.1	72	40.99	155.6	98	13.23	188.2	109	8.47	11.6	10	3.13	1	0
FL	70	510	366-6345	1	0	0	226.7	98	38.54	228.1	115	19.39	73.2	93	3.29	17.6	4	4.75	2	1
LA	93	415	337-9345	0	0	0	179.3	93	30.48	178.6	98	15.18	225.2	131	10.13	11.5	6	3.11	3	0
TN	127	408	336-1090	0	1	22	166	114	28.22	174.5	103	14.83	244.9	68	11.02	10.2	6	2.75	1	0
MS	65	415	343-2095	0	0	0	136.1	112	23.14	272.9	96	23.2	220.2	104	9.91	4.4	2	1.19	1	0
ME	35	408	345-3934	0	0	0	149.3	113	25.38	242.2	122	20.59	174.3	104	7.84	8.9	6	2.4	2	0
MO	123	415	402-6591	0	0	0	206.9	85	35.17	244.7	78	20.8	221.5	136	9.97	7.7	2	2.08	3	0
IA	126	408	403-6419	0	1	27	186.2	78	31.65	189.6	83	16.12	76.5	139	3.44	9.6	3	2.59	2	0
KY	45	415	378-5692	0	1	22	196.6	84	33.42	313.2	92	26.62	163.3	108	7.35	11.9	3	3.21	0	0
OK	100	415	352-4221	0	0	0	203.1	96	34.53	217	126	18.45	180.9	122	8.14	13.5	2	3.65	3	0
NV	53	415	327-6179	0	0	0	168.8	97	28.7	220.3	87	18.73	154.3	113	6.94	10.9	2	2.94	0	0
ID	92	415	359-6196	1	0	0	173.1	140	29.43	240.3	105	20.43	233.2	117	10.49	9	5	2.43	1	0
SD	110	408	357-4078	0	1	40	202.6	103	34.44	118.8	128	10.1	234.9	98	10.57	9	9	2.43	2	0
NJ	138	510	400-5751	0	0	0	220.2	89	37.43	88.3	125	7.51	195.3	79	8.79	12.9	5	3.48	0	0
NV	137	415	338-1027	1	0	0	135.1	95	22.97	134.1	102	11.4	223.1	81	10.04	12.3	2	3.32	2	1
RI	107	415	385-8240	0	1	37	60	102	10.2	102.2	80	8.69	261.8	106	11.78	11.1	3	3	0	0
IN	51	510	348-1359	0	0	0	214.8	94	36.52	149.7	58	12.72	283.4	66	12.75	10.2	5	2.75	0	0
NM	119	510	349-1687	0	1	23	154	114	26.18	278	137	23.63	228.4	112	10.28	11.8	4	3.19	2	0
NJ	106	415	365-2153	0	0	0	207.9	91	35.34	172	109	14.62	191.8	143	8.63	14.4	7	3.89	4	0
MI	86	510	349-2808	0	1	41	119	101	20.23	230	134	19.55	236.9	58	10.66	9.5	3	2.57	0	0
TX	97	415	411-1715	1	0	0	143.7	117	24.43	273	82	23.21	178.3	81	8.02	10.9	3	2.94	0	0
DC	108	510	377-7177	0	0	0	138.6	122	23.56	172.3	117	14.65	231.6	92	10.42	9.8	3	2.65	1	0
NM	117	415	340-3182	0	0	0	143.3	103	24.36	211.3	108	17.96	185.2	96	8.33	11.5	3	3.11	1	0
NC	155	408	417-3676	0	0	0	262.4	55	44.61	194.6	113	16.54	146.5	85	6.59	8.3	6	2.24	2	0
WV	114	510	417-6774	0	1	30	206.2	79	35.05	260	91	22.1	291.6	83	13.12	11.4	6	3.08	1	0
NH	119	408	420-3192	0	0	0	138.3	89	23.51	170.5	78	14.49	263.9	98	11.88	13.5	6	3.65	3	0
MO	64	510	389-1475	0	1	48	94.4	104	16.05	136.2	101	11.58	147.4	89	6.63	4.5	4	1.22	0	0
MA	118	408	343-7734	1	0	0	160	123	27.2	175.4	96	14.91	184.8	99	8.32	9.9	3	2.67	2	0
PA	101	415	410-3390	0	0	0	206.6	105	35.12	224.9	117	19.12	249.9	100	11.25	14.6	3	3.94	0	0
OK	117	415	344-6495	0	0	0	134.7	121	22.9	180	83	15.3	200.9	104	9.04	7.7	3	2.08	1	0
WY	139	415	337-7501	0	0	0	192.8	104	32.78	234.4	96	19.92	203.2	101	9.14	13	3	3.51	3	0
PA	92	408	339-9631	0	1	28	151.1	90	25.69	194.8	79	16.56	239.2	114	10.76	10	3	2.7	1	0
WA	83	415	369-4384	0	0	0	221.4	103	37.64	231.8	103	19.7	122.5	100	5.51	9.8	5	2.65	3	0
HI	148	510	416-3915	1	0	0	218.9	88	37.21	208	85	17.68	203.3	99	9.15	11.1	4	3	0	0
SD	144	408	339-3049	0	1	48	189.8	96	32.27	123.4	67	10.49	214.2	106	9.64	6.5	2	1.76	2	1
AL	131	415	361-7998	0	1	25	192.7	85	32.76	225.9	105	19.2	254.2	59	11.44	10.9	6	2.94	2	0
MT	143	415	387-6440	0	0	0	172.3	97	29.29	174	108	14.79	188.2	119	8.47	13	4	3.51	2	0
MN	81	415	369-2625	0	0	0	198.4	93	33.73	210.9	108	17.93	193.3	71	8.7	10.4	6	2.81	2	0
AK	48	415	389-7073	0	1	37	211.7	115	35.99	159.9	84	13.59	144.1	80	6.48	12.2	1	3.29	1	0
MI	86	415	370-8463	0	1	28	221.6	74	37.67	288.4	100	24.51	240.3	105	10.81	9	2	2.43	1	0
SD	145	408	412-1194	0	1	24	147.5	90	25.08	175.7	108	14.93	252.1	102	11.34	15.6	3	4.21	2	0
MI	137	510	355-9508	0	0	0	206.4	122	35.09	128	102	10.88	194.5	84	8.75	8.8	5	2.38	2	0
AL	167	510	335-5882	0	0	0	207.6	88	35.29	132.4	63	11.25	255.2	98	11.48	14.1	5	3.81	0	0
NE	132	510	335-1838	0	0	0	99.5	110	16.92	129.1	80	10.97	125.1	124	5.63	9.7	3	2.62	0	0
WI	94	510	355-6930	0	0	0	177.1	112	30.11	194	112	16.49	146.7	108	6.6	5.9	4	1.59	1	0
CT	96	415	387-5860	0	1	37	172.7	93	29.36	120.1	116	10.21	216.1	86	9.72	10.3	5	2.78	5	1
DC	74	415	371-1514	0	0	0	85.7	83	14.57	247.7	67	21.05	142.4	85	6.41	10.1	5	2.73	2	0
AR	36	415	346-9317	0	0	0	157.6	117	26.79	184.3	58	15.67	240.4	99	10.82	11.9	1	3.21	0	0
MN	94	415	412-4399	0	0	0	181.5	98	30.86	199.9	88	16.99	287.7	114	12.95	6.6	5	1.78	1	0
FL	127	415	416-1676	0	0	0	266.6	106	45.32	264.8	168	22.51	207.2	119	9.32	5.9	2	1.59	1	1
RI	121	408	329-7347	0	0	0	170.4	108	28.97	350.5	68	29.79	297	87	13.37	11.2	3	3.02	0	1
MO	196	415	393-2373	0	0	0	234	109	39.78	249.5	114	21.21	173.1	70	7.79	9.1	5	2.46	2	0
VT	113	415	419-1714	0	0	0	272.1	111	46.26	268.5	118	22.82	213.8	105	9.62	8.5	10	2.3	1	1
IN	122	408	336-3819	0	0	0	296.4	99	50.39	214.8	89	18.26	133.9	107	6.03	11.4	3	3.08	4	1
RI	112	510	341-3464	0	0	0	194.4	101	33.05	190.3	82	16.18	183.4	107	8.25	11.4	2	3.08	0	0
SD	209	415	413-5310	0	0	0	227.2	128	38.62	258.4	92	21.96	183.5	74	8.26	8.9	4	2.4	3	0
MN	62	415	366-7912	0	0	0	248.7	109	42.28	220	118	18.7	265.7	78	11.96	13.2	2	3.56	1	1
TX	110	415	399-8845	0	1	38	236.3	102	40.17	195.9	112	16.65	183.5	82	8.26	9.7	6	2.62	1	0
VA	16	510	368-2583	0	0	0	205.6	69	34.95	169.5	93	14.41	220.1	64	9.9	10.9	3	2.94	0	0
MA	73	408	360-6309	0	0	0	94.1	136	16	280.3	122	23.83	205	77	9.23	9.8	4	2.65	0	0
MA	39	408	332-2462	0	0	0	60.4	158	10.27	306.2	120	26.03	123.9	46	5.58	12.4	3	3.35	1	0
RI	119	415	329-3222	0	1	29	117.8	66	20.03	256.8	114	21.83	147.6	76	6.64	7.6	3	2.05	3	0
ID	173	510	363-5819	0	1	21	232.4	96	39.51	211.9	118	18.01	273	102	12.29	5	5	1.35	3	0
SD	128	510	413-9269	1	1	32	223.5	81	38	188.8	74	16.05	154.9	101	6.97	9.4	2	2.54	2	1
MA	86	510	330-7483	0	0	0	176.3	79	29.97	259.2	97	22.03	287.4	78	12.93	6.2	3	1.67	0	0
WY	114	415	403-7775	0	1	32	125.2	79	21.28	177.8	105	15.11	232.4	89	10.46	12.9	3	3.48	1	0
AL	121	408	331-8909	0	1	35	68.7	95	11.68	209.2	69	17.78	197.4	42	8.88	11.4	4	3.08	1	0
GA	143	408	359-5160	0	1	33	239.2	109	40.66	235.5	112	20.02	156.3	95	7.03	9.5	4	2.57	1	0
AZ	158	510	362-2314	0	0	0	205.2	97	34.88	240.6	77	20.45	79.7	108	3.59	14.4	12	3.89	0	0
FL	116	510	338-8478	0	0	0	192.1	98	32.66	312.9	135	26.6	130.2	94	5.86	7.9	2	2.13	3	0
MT	54	415	387-5453	0	0	0	272.6	83	46.34	248.7	74	21.14	197.4	111	8.88	9.5	2	2.57	1	1
AL	86	415	380-3437	0	0	0	128.3	121	21.81	197.1	93	16.75	138.4	152	6.23	12.2	5	3.29	7	1
DE	108	510	365-8779	0	0	0	169.6	99	28.83	264.1	87	22.45	206.3	78	9.28	9.3	4	2.51	0	0
SC	99	510	397-4304	0	0	0	169.2	70	28.76	271.5	77	23.08	170.2	104	7.66	10.6	2	2.86	0	0
OR	77	510	409-8814	0	0	0	233.8	104	39.75	266.5	94	22.65	212.7	104	9.57	7.6	3	2.05	2	0
GA	89	415	343-6940	0	0	0	213	63	36.21	176.6	71	15.01	262.6	126	11.82	9.1	1	2.46	1	1
IL	44	415	350-6639	0	1	34	221.8	105	37.71	161.7	85	13.74	227.7	62	10.25	14	7	3.78	0	0
IN	98	408	376-4300	0	1	21	64.6	98	10.98	176.1	86	14.97	244.8	84	11.02	0	0	0	2	0
VT	162	510	375-2165	0	0	0	220.6	117	37.5	155.2	121	13.19	186.7	89	8.4	10.5	11	2.84	1	0
FL	100	510	420-7823	0	0	0	107	63	18.19	105.7	67	8.98	243.1	74	10.94	12.8	3	3.46	4	1
AR	79	408	406-2752	0	0	0	152.2	112	25.87	177.2	132	15.06	96.4	87	4.34	5.3	3	1.43	1	0
MS	64	408	402-1942	1	0	0	236.2	77	40.15	218.6	85	18.58	194.1	97	8.73	13.2	2	3.56	2	1
ME	31	415	371-7917	0	0	0	166.1	105	28.24	79.3	93	6.74	213.7	98	9.62	12.7	2	3.43	1	0
CA	124	408	343-6374	1	0	0	244.6	89	41.58	188.8	80	16.05	206	114	9.27	11.3	4	3.05	1	0
NM	122	408	385-8730	0	1	23	134.2	85	22.81	227.3	132	19.32	122.4	96	5.51	8.5	2	2.3	2	0
SC	90	408	407-6748	0	1	29	150.1	109	25.52	264.7	103	22.5	178.4	97	8.03	5.8	4	1.57	1	0
DE	148	415	351-2587	0	0	0	124.4	83	21.15	179.7	81	15.27	253	99	11.39	11.3	6	3.05	0	0
MS	77	408	356-4001	0	0	0	230	87	39.1	103.2	138	8.77	309.6	136	13.93	11.3	3	3.05	2	0
OK	194	408	328-9869	0	0	0	162.3	88	27.59	213.7	118	18.16	192.1	81	8.64	10.9	2	2.94	0	0
NC	112	415	334-1872	0	0	0	193.3	96	32.86	264.1	123	22.45	128.6	115	5.79	9.1	3	2.46	4	0
MD	45	415	350-1040	0	0	0	78.2	127	13.29	253.4	108	21.54	255	100	11.48	18	3	4.86	1	0
KS	132	415	369-3214	0	0	0	83.4	110	14.18	232.2	137	19.74	146.7	114	6.6	7.6	5	2.05	1	0
NM	56	408	385-5722	0	0	0	197	110	33.49	222.8	102	18.94	225.3	91	10.14	10.6	6	2.86	2	0
CA	151	415	357-1909	1	0	0	218	57	37.06	114.4	88	9.72	269.2	95	12.11	12.4	1	3.35	0	1
NY	32	415	364-3567	0	0	0	164.8	98	28.02	229.9	96	19.54	167.3	108	7.53	14.8	2	4	2	0
AZ	90	415	422-4241	0	0	0	179.2	77	30.46	210.7	99	17.91	276.9	58	12.46	9.2	6	2.48	2	0
SD	87	415	370-2957	0	1	21	214	113	36.38	180	114	15.3	134.5	82	6.05	10.6	5	2.86	0	0
ND	79	408	363-3515	0	0	0	205.7	123	34.97	214.5	108	18.23	226.1	106	10.17	6.7	18	1.81	1	0
MO	95	415	374-7787	1	0	0	165.5	84	28.14	286.2	112	24.33	198.9	89	8.95	11.5	2	3.11	1	1
KS	127	415	345-2931	0	0	0	221	100	37.57	160.7	113	13.66	233.1	96	10.49	6.8	4	1.84	2	0
SD	137	510	373-5732	0	0	0	242.1	118	41.16	191	93	16.24	218.6	50	9.84	14.7	2	3.97	3	0
OK	97	415	348-7437	0	0	0	151.6	107	25.77	155.4	96	13.21	240	112	10.8	14.7	4	3.97	1	0
KS	137	415	346-8581	0	0	0	230.2	113	39.13	220.4	79	18.73	204.7	111	9.21	10.7	7	2.89	4	0
CT	99	415	363-8824	0	0	0	146.7	64	24.94	274	99	23.29	321.3	98	14.46	8.9	1	2.4	3	0
